title,content,source,date,category,sentiment_score
Ác mộng săn vé World Cup,Mỹ Hành trình săn vé của Brian Rizzo với mức giá đắt đỏ là minh chứng cho nỗi gian truân mà người hâm mộ phải nếm trải khi muốn xem tận mắt World Cup.,VnExpress,,News,0.0
Đức 'thất bại cay đắng' khi tranh cử ghế Hội đồng Bảo an LHQ,"Đức thất bại trước Áo và Bồ Đào Nha trong nỗ lực tranh cử ghế ủy viên không thường trực HĐBA, có thể do sự ủng hộ của Berlin với Israel và Ukraine.",VnExpress,,News,0.0
"FBI bắn hạ kẻ bắt cóc, giải cứu 10 con tin ở California","Đặc vụ FBI đối đầu gần 16 tiếng với kẻ bắt cóc, dọa đánh bom tòa nhà ở thành phố Bakersfield, trước khi bắn hạ nghi phạm để cứu 10 con tin.",VnExpress,,News,0.0
Tuổi già chật vật ở quận Cam,"MỹMột sáng, ông Lương, 77 tuổi, chậm rãi bước đến chùa Giác Lý ở quận Cam để nhận thực phẩm, vợ ông đi sau, để tay hờ sau lưng phòng chồng ngã.",VnExpress,,News,0.0
Tổng thống Trump: Chủ tịch Tập ngưỡng mộ Mỹ,Tổng thống Trump nói rằng Chủ tịch Trung Quốc đánh giá cao những thành tựu ông đã đạt được trong nhiệm kỳ thứ hai và rất coi trọng Mỹ.,VnExpress,,News,0.0
Khoảnh khắc UAV nghi của Iran lao xuống sân bay Kuwait,"Kuwait công bố video ghi lại cảnh UAV được cho là của Iran lao xuống nhà ga tại sân bay quốc tế của nước này, gây ra vụ nổ lớn.",VnExpress,,News,0.0
Hạ viện Mỹ kêu gọi chấm dứt xung đột với Iran,"Hạ viện Mỹ thông qua nghị quyết yêu cầu Mỹ rút khỏi xung đột với Iran, đây được xem là động thái mang tính biểu tượng nhưng vẫn giáng đòn về mặt chính trị vào Tổng thống Donald Trump.",VnExpress,,News,0.0
Israel - Lebanon nhất trí thực hiện lệnh ngừng bắn,"Israel - Lebanon nhất trí thực hiện lệnh ngừng bắn, nhưng cho biết điều này đòi hỏi Hezbollah ""chấm dứt hoàn toàn"" các cuộc tấn công.",VnExpress,,News,0.0
Mỹ - Iran phát thông điệp mâu thuẫn về đàm phán,"Tổng thống Trump nói cuộc đàm phán với Iran có thể đạt kết quả vào cuối tuần này, trong khi Ngoại trưởng Iran tuyên bố ""không có tiến triển nào đáng kể"".",VnExpress,,News,0.0
Thế lưỡng nan với Oman trước sức ép chọn phe từ Mỹ,"Oman cố gắng duy trì chính sách trung lập trong chiến sự Mỹ - Iran, nhưng đang đối mặt thế khó khi Washington tăng áp lực ""chọn phe"" với nước này.",VnExpress,,News,0.0
